Ranking;Country;Regional indicator;Happiness score;GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption
149;Afghanistan;South Asia;2,5229;2,11402;0;52;0;0,22474;0,9825
93;Albania;Central and Eastern Europe;5,1174;5,7574;0,45126;69;0,68576;0,31123;0,95529
109;Argelia;Sub-Saharan Africa;4,8871;5,40196;0,65216;66;0,1665;0,26656;0,78135
57;Argentina;Latin America and Caribbean;5,9293;6,63769;0,83585;69;0,75926;0,1283;0,87708
86;Armenia;Commonwealth of Independent States;5,2826;5,69131;0,64658;67;0,7539;0,14524;0,63853
11;Australia;North America and ANZ;7,1835;8,3019;0,91777;74;0,90401;0,53836;0,42027
10;Austria;Western Europe;7,2678;8,52282;0,90629;73;0,89388;0,3974;0,46586
90;Azerbaijan;Commonwealth of Independent States;5,1708;5,85365;0,71746;66;0,73492;0,07907;0,49513
22;Bahrain;Middle East and North Africa;6,6469;8,04848;0,76689;69;0,92328;0,4547;0,74649
101;Bangladesh;South Asia;5,0246;3,62965;0,44354;65;0,84173;0,29746;0,69948
75;Belarus;Commonwealth of Independent States;5,5335;6,42137;0,85914;66;0,45531;0,12996;0,63534
20;Belgium;Western Europe;6,834;8,35672;0,85124;72;0,6825;0,16245;0,65738
99;Benin;Sub-Saharan Africa;5,0452;2,89676;0,04981;55;0,63859;0,30655;0,67503
69;Bolivia;Latin America and Caribbean;5,7159;4,80988;0,66687;64;0,83771;0,25411;0,88297
64;Bosnia and Herzegovina;Central and Eastern Europe;5,8131;5,89613;0,7837;68;0,55168;0,48291;0,99052
146;Botswana;Sub-Saharan Africa;3,4665;6,27831;0,61801;59;0,75231;0,05061;0,8382
35;Brazil;Latin America and Caribbean;6,3301;5,87077;0,80524;67;0,71835;0,26166;0,78662
88;Bulgaria;Central and Eastern Europe;5,2655;6,74535;0,89975;67;0,69022;0,231;0,99157
113;Burkina Faso;Sub-Saharan Africa;4,8338;2,08086;0,40293;54;0,53165;0,33691;0,77674
140;Burundi;Sub-Saharan Africa;3,7753;0;0,05329;53;0,41572;0,31852;0,6123
114;Cambodia;Southeast Asia;4,8304;3,44236;0,58036;62;0,98037;0,38822;0,88816
91;Cameroon;Sub-Saharan Africa;5,1418;3,10058;0,47471;54;0,59393;0,3782;0,89303
14;Canada;North America and ANZ;7,1033;8,26303;0,89088;74;0,90575;0,45492;0,38807
128;Chad;Sub-Saharan Africa;4,3554;1,45411;0,30116;48;0,33461;0,39712;0,84554
43;Chile;Latin America and Caribbean;6,1719;6,8561;0,80658;70;0,61143;0,29391;0,87288
84;China;East Asia;5,3391;6,06207;0,66924;70;0,8881;0,17144;0,78545
52;Colombia;Latin America and Caribbean;6,0124;5,83025;0,73847;68;0,77371;0,18483;0,88515
131;Comoros;Sub-Saharan Africa;4,2886;2,7846;0,31338;57;0,2819;0,4456;0,81488
83;Congo (Brazzaville);Sub-Saharan Africa;5,3417;2,95714;0,33417;58;0,53194;0,26589;0,77295
16;Costa Rica;Latin America and Caribbean;7,0694;6,47464;0,82391;71;0,93933;0,19487;0,84769
60;Croatia;Central and Eastern Europe;5,8817;7,14768;0,88595;71;0,63212;0,20546;1
39;Cyprus;Western Europe;6,2235;7,86375;0,65284;74;0,64801;0,32932;0,889
18;Czech Republic;Central and Eastern Europe;6,9647;7,82406;0,92998;71;0,81013;0,09619;0,91653
2;Denmark;Western Europe;7,6195;8,57642;0,94517;73;0,95837;0,38358;0,11299
73;Dominican Republic;Latin America and Caribbean;5,5451;6,31987;0,75007;66;0,81207;0,18665;0,73737
66;Ecuador;Latin America and Caribbean;5,764;5,34315;0,68785;69;0,78255;0,19824;0,88705
132;Egypt;Middle East and North Africa;4,2827;5,45037;0,55191;62;0,62343;0,1278;0,83139
49;El Salvador;Latin America and Caribbean;6,0605;4,82622;0,57554;66;0,85967;0,2144;0,70717
40;Estonia;Western Europe;6,1888;7,67446;0,92027;69;0,89562;0,21931;0,51866
133;Ethiopia;Sub-Saharan Africa;4,2747;2,11179;0,57905;59;0,62947;0,44613;0,79145
1;Finland;Western Europe;7,8421;8,26118;0,94362;72;0,96454;0,22947;0,12117
21;France;Western Europe;6,6899;8,11889;0,92199;74;0,748;0,1707;0,57009
112;Gabon;Sub-Saharan Africa;4,8518;5,92207;0,60308;60;0,59282;0,10642;0,88363
98;Gambia;Sub-Saharan Africa;5,051;2,09648;0,4363;55;0,53587;0,85851;0,77446
108;Georgia;Commonwealth of Independent States;4,8914;5,88527;0,40074;64;0,68128;0,05991;0,66835
13;Germany;Western Europe;7,1545;8,45544;0,84669;73;0,83861;0,36012;0,44109
95;Ghana;Sub-Saharan Africa;5,0884;3,88112;0,50767;58;0,72191;0,49597;0,89369
68;Greece;Middle East and North Africa;5,7226;7,27059;0,69218;73;0,33994;0;0,86448
30;Guatemala;Latin America and Caribbean;6,4345;4,82532;0,67397;65;0,89069;0,30198;0,8087
102;Guinea;Sub-Saharan Africa;4,9843;2,39946;0,33995;55;0,53616;0,46141;0,79789
143;Haiti;Latin America and Caribbean;3,6149;1,67985;0,1478;56;0,35964;0,85533;0,7454
59;Honduras;Latin America and Caribbean;5,9192;4,01677;0,67134;67;0,80778;0,4449;0,84769
77;Hong Kong S.A.R. of China;East Asia;5,4767;8,7104;0,71719;77;0,56946;0,42846;0,37404
53;Hungary;Central and Eastern Europe;5,9916;7,42912;0,92415;68;0,63424;0,1229;0,92633
4;Iceland;Western Europe;7,5539;8,46586;1;73;0,97449;0,54046;0,6892
139;India;South Asia;3,8189;4,23021;0,26976;61;0,86913;0,45496;0,80681
82;Indonesia;Southeast Asia;5,3445;5,44669;0,67036;62;0,83471;1;0,91599
