Ranking;Country;Regional indicator;Happiness score;GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption
3;Iceland;Western Europe;7,504;7,91458;1;71;0,95277;0,56742;0,33066
15;Ireland;Western Europe;6,977;8,20897;0,9675;71;0,87066;0,51053;0,64265
2;Denmark;Western Europe;7,522;7,92394;0,96309;70;0,95102;0,42392;0,86316
47;Uzbekistan;Commonwealth of Independent States;5,971;4,20385;0,96175;62;1;0,49636;0,53096
8;New Zealand;North America and ANZ;7,314;7,51407;0,96127;71;0,93287;0,59661;0,82449
5;Finland;Western Europe;7,469;7,71648;0,95633;71;0,93878;0,29291;0,82405
1;Norway;Western Europe;7,537;8,64065;0,95216;70;0,96532;0,43196;0,68051
34;Spain;Western Europe;6,403;7,40017;0,95127;73;0,62101;0,22687;0,15273
4;Switzerland;Western Europe;7,494;8,36545;0,94185;72;0,942;0,34669;0,79044
9;Australia;North America and ANZ;7,284;7,9348;0,93758;72;0,91395;0,57;0,64867
70;Paraguay;Latin America and Caribbean;5,493;4,98479;0,93587;64;0,71934;0,26746;0,19613
40;Slovakia;Central and Eastern Europe;6,098;7,08477;0,93449;68;0,4494;0,16293;0,05214
19;United Kingdom;Western Europe;6,714;7,70612;0,92915;71;0,77203;0,58798;0,57166
59;Turkmenistan;Commonwealth of Independent States;5,822;6,04446;0,92709;60;0,63543;0,29821;0,5584
100;Mongolia;East Asia;4,955;5,49099;0,92701;63;0,59878;0,40386;0,07086
27;Malta;Western Europe;6,527;7,18037;0,92415;71;0,89444;0,68577;0,32967
7;Canada;North America and ANZ;7,316;7,90695;0,91976;71;0,92837;0,51969;0,61892
10;Sweden;Western Europe;7,284;7,9881;0,91779;71;0,93114;0,45986;0,8279
66;Estonia;Western Europe;5,611;7,06063;0,91686;67;0,72789;0,118;0,39467
52;Lithuania;Western Europe;5,902;7,02697;0,9149;65;0,35584;0,01213;0,02556
16;Germany;Western Europe;6,951;7,95355;0,91428;70;0,85456;0,40124;0,59601
49;Russia;Commonwealth of Independent States;5,963;6,85162;0,91227;63;0,56784;0,06236;0,07099
17;Belgium;Western Europe;6,891;7,8245;0,90795;71;0,82001;0,27623;0,54133
13;Austria;Western Europe;7,006;7,94914;0,90647;71;0,86254;0,37762;0,47611
18;Luxembourg;Western Europe;6,863;9,31139;0,90501;72;0,90639;0,33789;0,68669
62;Slovenia;Central and Eastern Europe;5,758;7,16929;0,90186;70;0,86985;0,28953;0,0972
46;Poland;Central and Eastern Europe;5,973;6,90513;0,89764;68;0,79049;0,18908;0,12773
67;Belarus;Commonwealth of Independent States;5,569;6,18227;0,89716;66;0,44877;0,18511;0,33666
48;Italy;Western Europe;5,964;7,4572;0,89715;72;0,3896;0,20617;0,06037
