Ranking;Country;Regional indicator;Happiness score;GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption
1;Finland;Western Europe;7,7689;7,95824;0,9776;76;0,944;0,26989;0,86796
2;Denmark;Western Europe;7,6001;8,21474;0,96855;76;0,93839;0,44593;0,90675
3;Norway;Western Europe;7,5539;8,83423;0,97407;77;0,95605;0,47948;0,75302
4;Iceland;Western Europe;7,4936;8,19529;1;77;0,93609;0,62627;0,26062
5;Netherlands;Western Europe;7,4876;8,28945;0,93733;76;0,8825;0,56986;0,65824
6;Switzerland;Western Europe;7,4802;8,6233;0,94003;77;0,90538;0,46563;0,75685
7;Sweden;Western Europe;7,3433;8,23337;0,91603;76;0,90998;0,47192;0,82442
8;New Zealand;North America and ANZ;7,3075;7,73464;0,95909;77;0,92697;0,58294;0,84005
9;Canada;North America and ANZ;7,2781;8,10463;0,92676;77;0,92508;0,50373;0,68047
10;Austria;Western Europe;7,246;8,16785;0,90858;76;0,8429;0,43046;0,49973
11;Australia;North America and ANZ;7,228;8,14412;0,95338;77;0,88265;0,58596;0,64054
12;Costa Rica;Latin America and Caribbean;7,1674;6,14128;0,88758;76;0,88402;0,2552;0,20648
13;Israel;Middle East and North Africa;7,1387;7,57582;0,89591;77;0,58706;0,46211;0,18141
14;Luxembourg;Western Europe;7,0903;9,55268;0,91079;76;0,83353;0,34339;0,69738
15;United Kingdom;Western Europe;7,0537;7,91495;0,94699;76;0,71212;0,61547;0,61322
16;Ireland;Western Europe;7,0211;8,90223;0,95665;76;0,81683;0,52711;0,68534
17;Germany;Western Europe;6,985;8,15021;0,8955;76;0,7846;0,46211;0,58535
18;Belgium;Western Europe;6,923;8,04987;0,9265;76;0,74861;0,28242;0,46316
19;United States;North America and ANZ;6,8923;8,50777;0,89757;74;0,71946;0,49468;0,28217
20;Czech Republic;Central and Eastern Europe;6,8521;7,53554;0,9161;75;0,72377;0,08142;0,08061
21;United Arab Emirates;Middle East and North Africa;6,8245;8,92248;0,80668;73;0,94804;0,46355;0,40133
22;Malta;Western Europe;6,7256;7,71893;0,93597;76;0,89394;0,66334;0,33295
23;Mexico;Latin America and Caribbean;6,5945;6,35232;0,81488;74;0,68613;0,12998;0,16061
24;France;Western Europe;6,5921;7,86139;0,90663;77;0,68998;0,19634;0,40467
25;Taiwan;East Asia;6,4462;8,12358;0,88099;75;0,55534;0,42716;0,21383
26;Chile;Latin America and Caribbean;6,444;6,88166;0,84301;75;0,56489;0,32981;0,12394
27;Guatemala;Latin America and Caribbean;6,4362;4,75186;0,78187;71;0,84722;0,30948;0,17194
28;Saudi Arabia;Middle East and North Africa;6,3747;8,33026;0,83549;72;0,69496;0,14206;0,29172
29;Qatar;Middle East and North Africa;6,3745;10;0,80871;74;0,8797;0,38824;0,36785
30;Spain;Western Europe;6,3541;7,63488;0,91426;77;0,57362;0,27022;0,17355
31;Panama;Latin America and Caribbean;6,3213;6,82503;0,88785;75;0,8169;0,19227;0,11992
32;Brazil;Latin America and Caribbean;6,2998;5,96248;0,88621;72;0,61761;0,17536;0,18922
33;Uruguay;Latin America and Caribbean;6,2933;6,6764;0,90209;74;0,82773;0,22358;0,33236
34;Singapore;Southeast Asia;6,262;9,33188;0,90119;79;0,88089;0,47822;1
35;El Salvador;Latin America and Caribbean;6,2531;4,71618;0,7647;72;0,68144;0,16451;0,1643
36;Italy;Western Europe;6,2234;7,68618;0,91647;77;0,3656;0,27917;0,06596
