Ranking;Country;Regional indicator;Happiness score;GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption
1;Finland;Western Europe;7,8087;8,36344;0,96896;72;0,95535;0,28022;0,10373
2;Denmark;Western Europe;7,6456;8,63519;0,97149;72;0,95928;0,42609;0,07109
3;Switzerland;Western Europe;7,5599;9,05054;0,95143;74;0,90723;0,47218;0,23486
4;Iceland;Western Europe;7,5045;8,63228;1;73;0,95487;0,63587;0,7289
5;Norway;Western Europe;7,488;9,2681;0,96614;73;0,96672;0,5054;0,1858
6;Netherlands;Western Europe;7,4489;8,71326;0,94577;72;0,88512;0,59022;0,30871
7;Sweden;Western Europe;7,3535;8,60451;0,92619;73;0,93801;0,4788;0,17086
8;New Zealand;North America and ANZ;7,2996;8,08445;0,961;73;0,93295;0,57164;0,13484
9;Austria;Western Europe;7,2942;8,5723;0,92884;73;0,87032;0,44841;0,47248
10;Luxembourg;Western Europe;7,2375;10;0,89659;73;0,88009;0,34389;0,31158
11;Canada;North America and ANZ;7,2321;8,47054;0,92751;74;0,92897;0,49407;0,34035
12;Australia;North America and ANZ;7,2228;8,52747;0,9545;74;0,89702;0,57032;0,3698
13;United Kingdom;Western Europe;7,1645;8,28451;0,94202;72;0,75752;0,65536;0,39493
14;Israel;Middle East and North Africa;7,1286;7,9162;0,90675;73;0,60683;0,46833;0,81263
15;Costa Rica;Latin America and Caribbean;7,1214;6,38461;0,8884;71;0,9304;0,23037;0,81926
16;Ireland;Western Europe;7,0937;9,41569;0,95026;72;0,84784;0,51846;0,29959
17;Germany;Western Europe;7,0758;8,55212;0,88432;72;0,81393;0,44232;0,41976
18;United States;North America and ANZ;6,9396;8,94129;0,90774;68;0,77114;0,52323;0,71437
19;Czech Republic;Central and Eastern Europe;6,9109;7,88925;0,90806;70;0,72951;0,0813;0,90659
20;Belgium;Western Europe;6,8635;8,43276;0,90379;72;0,72094;0,25792;0,60852
21;United Arab Emirates;Middle East and North Africa;6,7908;9,31287;0,80848;67;0,94182;0,49254;0,58697
22;Malta;Western Europe;6,7728;8,1508;0,9324;72;0,91341;0,59876;0,66452
23;France;Western Europe;6,6638;8,25242;0,94267;74;0,74149;0,19762;0,57367
24;Mexico;Latin America and Caribbean;6,465;6,66626;0,79243;68;0,79896;0,14583;0,84407
25;Taiwan Province of China;East Asia;6,4554;8,63858;0,87735;70;0,64824;0,26429;0,75333
26;Uruguay;Latin America and Caribbean;6,4401;6,96959;0,92085;69;0,85719;0,23191;0,63721
27;Saudi Arabia;Middle East and North Africa;6,4065;8,68321;0,84646;66;0,79115;0,15345;0,69367
28;Spain;Western Europe;6,4009;8,00777;0,91828;74;0,61446;0,2901;0,79447
29;Guatemala;Latin America and Caribbean;6,3989;4,9055;0,75878;65;0,88443;0,29942;0,81552
30;Italy;Western Europe;6,3874;8,04591;0,87059;74;0,46346;0,29881;0,9247
31;Singapore;Southeast Asia;6,3771;9,88875;0,90171;77;0,91641;0,38393;0
32;Brazil;Latin America and Caribbean;6,3756;6,19961;0,88104;66;0,69712;0,23108;0,80021
33;Slovenia;Central and Eastern Europe;6,3634;7,86537;0,94644;71;0,93283;0,2557;0,85649
34;El Salvador;Latin America and Caribbean;6,3483;4,87377;0,74271;66;0,7559;0,20873;0,7805
35;Kosovo;Central and Eastern Europe;6,3252;5,46948;0,76505;64;0,80384;0,57087;0,98395
36;Panama;Latin America and Caribbean;6,3048;7,14313;0,88923;70;0,8364;0,17059;0,89829
37;Slovakia;Central and Eastern Europe;6,2806;7,77547;0,92037;69;0,61093;0,20486;0,97882
38;Uzbekistan;Commonwealth of Independent States;6,2576;4,53351;0,92663;65;1;0,6376;0,47434
39;Chile;Latin America and Caribbean;6,2285;7,13874;0,85508;70;0,60219;0,27303;0,88212
40;Bahrain;Middle East and North Africa;6,2273;8,43829;0,84993;69;0,88046;0,50447;0,76237
41;Lithuania;Western Europe;6,2155;7,76715;0,92588;67;0,60649;0,09423;0,84742
42;Trinidad and Tobago;Latin America and Caribbean;6,1919;7,59849;0,90938;64;0,79757;0,34987;0,97172
43;Poland;Central and Eastern Europe;6,1863;7,60882;0,84675;69;0,80474;0,11122;0,69889
44;Colombia;Latin America and Caribbean;6,1634;6,06636;0,86229;68;0,76001;0,16211;0,91401
45;Cyprus;Western Europe;6,159;7,89236;0,74257;74;0,66264;0,40001;0,90396
46;Nicaragua;Latin America and Caribbean;6,1371;4,0349;0,82117;68;0,80793;0,37358;0,67349
47;Romania;Central and Eastern Europe;6,1237;7,29107;0,77182;67;0,77149;0,11966;0,99844
48;Kuwait;Middle East and North Africa;6,1021;9,27218;0,80435;67;0,82257;0,23297;0,7884
49;Mauritius;Sub-Saharan Africa;6,1013;6,98692;0,90185;66;0,85225;0,32799;0,84228
50;Kazakhstan;Commonwealth of Independent States;6,0579;7,30534;0,93907;65;0,71752;0,26976;0,79281
51;Estonia;Western Europe;6,0218;7,75987;0,93904;69;0,8318;0,21961;0,62157
52;Philippines;Southeast Asia;6,006;5,04414;0,80474;62;0,89707;0,22685;0,75545
53;Hungary;Central and Eastern Europe;6,0004;7,57679;0,91951;68;0,55736;0,12371;0,94833
