Ranking;Country;Regional indicator;Happiness score;GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption
1;Finland;Western Europe;7,8042;8,58486;0,97853;71;1;0,29969;0,04551
2;Denmark;Western Europe;7,5864;8,86229;0,95567;71;0,95192;0,49451;0,06348
3;Iceland;Western Europe;7,5296;8,75364;1;72;0,95678;0,59219;0,66635
4;Israel;Middle East and North Africa;7,4729;8,3349;0,93888;73;0,73689;0,29427;0,71775
5;Netherlands;Western Europe;7,403;8,82986;0,91885;72;0,87144;0,59435;0,29735
6;Sweden;Western Europe;7,3952;8,73292;0,93249;72;0,97682;0,53339;0,07195
7;Norway;Western Europe;7,3155;9,06702;0,93909;72;0,97449;0,50265;0,1745
8;Switzerland;Western Europe;7,2401;9,19142;0,90316;73;0,87869;0,35761;0,15356
9;Luxembourg;Western Europe;7,2279;10;0,83775;72;0,91985;0,35413;0,25399
10;New Zealand;North America and ANZ;7,1229;8,37266;0,953;70;0,87092;0,54617;0,15977
11;Austria;Western Europe;7,0973;8,75915;0,85325;71;0,81601;0,45297;0,44786
12;Australia;North America and ANZ;7,0946;8,6322;0,92411;71;0,87718;0,5751;0,44676
13;Canada;North America and ANZ;6,9607;8,5533;0,91619;71;0,85004;0,51781;0,35007
14;Ireland;Western Europe;6,9108;9,78382;0,87965;71;0,84989;0,44031;0,27056
15;United States;North America and ANZ;6,8937;9,00265;0,90117;66;0,72244;0,49739;0,69285
16;Germany;Western Europe;6,8918;8,72605;0,86497;71;0,80068;0,36188;0,34925
17;Belgium;Western Europe;6,8591;8,66895;0,89447;71;0,76511;0,32545;0,51401
18;Czechia;Central and Eastern Europe;6,8452;8,28976;0,95328;69;0,89842;0,37426;0,91042
19;United Kingdom;Western Europe;6,7956;8,44176;0,84353;70;0,81162;0,64606;0,39333
20;Lithuania;Western Europe;6,763;8,21935;0,93265;67;0,63165;0,13882;0,84163
21;France;Western Europe;6,6613;8,43604;0,88501;72;0,75391;0,196;0,51918
22;Slovenia;Central and Eastern Europe;6,6499;8,2527;0,95008;71;0,91699;0,34197;0,79841
23;Costa Rica;Latin America and Caribbean;6,6085;7,21454;0,82705;70;0,88549;0,2348;0,79402
24;Romania;Central and Eastern Europe;6,5891;7,84633;0,79012;67;0,81787;0,10504;1
25;Singapore;Southeast Asia;6,5867;9,85578;0,83625;74;0,85557;0,4035;0
