Ranking;Country;Regional indicator;Happiness score;GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption
146;Afghanistan;South Asia;2,4038;3,43077;0;65;0;0,18993;0,00832
90;Albania;Central and Eastern Europe;5,1988;6,51098;0,48923;78;0,69039;0,29574;0,04836
96;Argelia;Sub-Saharan Africa;5,1223;6,16812;0,73461;76;0,19727;0,22752;0,25535
57;Argentina;Latin America and Caribbean;5,967;7,20403;0,83488;76;0,75047;0,17207;0,14472
82;Armenia;Commonwealth of Independent States;5,3986;6,49102;0,62118;76;0,75348;0,11645;0,35769
12;Australia;North America and ANZ;7,1621;8,59913;0,91171;80;0,91414;0,55053;0,58117
11;Austria;Western Europe;7,163;8,74141;0,88283;80;0,84156;0,41306;0,56086
92;Azerbaijan;Commonwealth of Independent States;5,1734;6,599;0,82811;73;0,81198;0,05007;0,58051
21;Bahrain;Middle East and North Africa;6,6469;8,39134;0,77954;75;0,93632;0,42584;0,26344
94;Bangladesh;South Asia;5,1555;4,79885;0,46496;74;0,84087;0,267;0,31816
65;Belarus;Commonwealth of Independent States;5,8215;7,06956;0,87623;75;0,46192;0,08452;0,48057
19;Belgium;Western Europe;6,805;8,63249;0,83805;79;0,66475;0,10548;0,34685
115;Benin;Sub-Saharan Africa;4,6232;4,21715;0,04829;66;0,64703;0,27082;0,39135
71;Bolivia;Latin America and Caribbean;5,6003;5,68393;0,66661;73;0,84706;0,23856;0,10937
67;Bosnia and Herzegovina;Central and Eastern Europe;5,768;6,64551;0,80916;76;0,60556;0,52131;0,00938
142;Botswana;Sub-Saharan Africa;3,4711;6,80091;0,61782;65;0,77206;0,02663;0,1738
38;Brazil;Latin America and Caribbean;6,2928;6,61668;0,79111;75;0,73827;0,28005;0,22882
85;Bulgaria;Central and Eastern Europe;5,3709;7,35471;0,88104;76;0,76056;0,26345;0,03616
113;Burkina Faso;Sub-Saharan Africa;4,6705;3,52631;0,428;66;0,51635;0,39847;0,21393
114;Cambodia;Southeast Asia;4,6403;4,61278;0,55466;71;1;0,35465;0,11574
102;Cameroon;Sub-Saharan Africa;5,0476;4,38139;0,5089;66;0,53663;0,32437;0,12537
